"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 06:18:32 GMT 2023","Thu Apr 20 06:18:35 GMT 2023","2911","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 06:16:02 GMT 2023","Thu Apr 20 06:16:05 GMT 2023","2950","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 06:13:40 GMT 2023","Thu Apr 20 06:13:56 GMT 2023","16508","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 06:17:26 GMT 2023","Thu Apr 20 06:17:28 GMT 2023","2115","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 06:19:35 GMT 2023","Thu Apr 20 06:19:38 GMT 2023","2546","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"failed","Thu Apr 20 06:16:59 GMT 2023","Thu Apr 20 06:17:21 GMT 2023","22254","Tests","test_temprory_worker","","","","test_TemporaryWorkerVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 06:17:31 GMT 2023","Thu Apr 20 06:17:33 GMT 2023","1223","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"failed","Thu Apr 20 06:19:17 GMT 2023","Thu Apr 20 06:19:34 GMT 2023","16874","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"failed","Thu Apr 20 06:14:44 GMT 2023","Thu Apr 20 06:15:06 GMT 2023","21578","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"broken","Thu Apr 20 06:18:17 GMT 2023","Thu Apr 20 06:18:31 GMT 2023","13990","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 06:17:29 GMT 2023","Thu Apr 20 06:17:30 GMT 2023","1212","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"passed","Thu Apr 20 06:16:10 GMT 2023","Thu Apr 20 06:16:13 GMT 2023","2563","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 06:18:36 GMT 2023","Thu Apr 20 06:18:39 GMT 2023","2530","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 06:12:29 GMT 2023","Thu Apr 20 06:12:48 GMT 2023","18751","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 06:17:37 GMT 2023","Thu Apr 20 06:17:39 GMT 2023","2637","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 06:17:23 GMT 2023","Thu Apr 20 06:17:25 GMT 2023","2294","Tests","test_Login","","","","test_SignInThroughValidCredentials",""
"failed","Thu Apr 20 06:15:44 GMT 2023","Thu Apr 20 06:16:01 GMT 2023","16844","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 06:16:06 GMT 2023","Thu Apr 20 06:16:09 GMT 2023","2791","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 06:20:48 GMT 2023","Thu Apr 20 06:20:53 GMT 2023","5418","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"passed","Thu Apr 20 06:20:22 GMT 2023","Thu Apr 20 06:20:35 GMT 2023","13175","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 06:20:42 GMT 2023","Thu Apr 20 06:20:47 GMT 2023","4487","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 06:17:34 GMT 2023","Thu Apr 20 06:17:36 GMT 2023","2042","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 06:20:36 GMT 2023","Thu Apr 20 06:20:41 GMT 2023","5417","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 06:17:40 GMT 2023","Thu Apr 20 06:17:46 GMT 2023","5420","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
