"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Users Feature","Verify Users Screen Navigation","0","0","1","0","0"
"","Temporary Worker Feature","Check If Export Button actually downloads the file and its in csv format","1","0","0","0","0"
"","Users Feature","Check All Necessary Buttons are Visible","0","0","1","0","0"
"","Temporary Worker Feature","Verify All mandatory fields for Temporary Worker Screen","0","0","1","0","0"
"","Users Feature","Click on Edit User Button And Click On Save Changes button without even changing anything","0","0","1","0","0"
"","Users Feature","Add New User And Verify In Table","0","0","1","0","0"
"","Temporary Worker Feature","Check All Necessary Buttons Visible","0","0","1","0","0"
"","Users Feature","Delete Last User And Verify Message","0","1","0","0","0"
"","Users Feature","Navigate to check if Users for approval page is present","0","0","1","0","0"
"","Users Feature","Click on Edit User Button And Verify Mandatory FormFields are present","0","0","1","0","0"
"","Users Feature","Verify If Exported CSV Users file has the exact data matches with table","1","0","0","0","0"
"","Login Feature","Sign in with valid credentials","0","0","1","0","0"
"","Login Feature","Sign in With Invalid Password","0","0","1","0","0"
"","Users Feature","Edit the LastName and Verify in Table","1","0","0","0","0"
"","Users Feature","Check If Export Button actually downloads the file and its in csv format","1","0","0","0","0"
"","Users Feature","Edit the FirstName and Verify in Table","1","0","0","0","0"
"","Temporary Worker Feature","Delete Last Temporary worker","0","0","1","0","0"
"","Temporary Worker Feature","Check All Necessary Buttons Clickable","0","0","1","0","0"
"","Login Feature","Sign in without credentials","0","0","1","0","0"
"","Users Feature","Delete First User And Verify Message","0","0","1","0","0"
"","Users Feature","Add New User Screen Click Submit Button And Verify Errors","0","0","1","0","0"
"","Temporary Worker Feature","Add new temporary worker Screen","0","0","1","0","0"
"","Login Feature","Sign in With Invalid Email","0","0","1","0","0"
"","Login Feature","Sign in with Invalid credentials","0","0","1","0","0"
"","Temporary Worker Feature","Delete First Temporary worker","0","0","1","0","0"
"","Temporary Worker Feature","Verify If Exported CSV file has the exact data matches with table","1","0","0","0","0"
"","Users Feature","Check All Necessary Buttons Clickable","0","0","1","0","0"
"","Temporary Worker Feature","Add new temporary worker","0","1","0","0","0"
